Date	Open	High	Low	Close	Aclose	Volume
Nov 15, 2019	263.68	265.78	263.01	265.76	265.13	25,051,600
Nov 14, 2019	263.75	264.88	262.10	262.64	262.02	22,295,700
Nov 13, 2019	261.13	264.78	261.07	264.47	263.84	25,683,600
Nov 12, 2019	261.55	262.79	260.92	261.96	261.34	21,847,200
Nov 11, 2019	258.30	262.47	258.28	262.20	261.58	20,455,300
Nov 08, 2019	258.69	260.44	256.85	260.14	259.52	17,496,600
Nov 07, 2019	258.74	260.35	258.11	259.43	258.82	23,735,100
Nov 06, 2019	256.77	257.49	255.37	257.24	255.86	18,966,100
Nov 05, 2019	257.05	258.19	256.32	257.13	255.75	19,974,400
Nov 04, 2019	257.33	257.85	255.38	257.50	256.12	25,818,000
Nov 01, 2019	249.54	255.93	249.16	255.82	254.45	37,781,300
Oct 31, 2019	247.24	249.17	237.26	248.76	247.43	34,790,500
Oct 30, 2019	244.76	245.30	241.21	243.26	241.96	31,130,500
Oct 29, 2019	248.97	249.75	242.57	243.29	241.99	35,709,900
Oct 28, 2019	247.42	249.25	246.72	249.05	247.72	24,143,200
Oct 25, 2019	243.16	246.73	242.88	246.58	245.26	18,369,300
Oct 24, 2019	244.51	244.80	241.81	243.58	242.28	17,318,800
Oct 23, 2019	242.10	243.24	241.22	243.18	241.88	18,957,200
Oct 22, 2019	241.16	242.20	239.62	239.96	238.68	20,573,400
Oct 21, 2019	237.52	240.99	237.32	240.51	239.22	21,811,800
Oct 18, 2019	234.59	237.58	234.29	236.41	235.14	24,358,400
Oct 17, 2019	235.09	236.15	233.52	235.28	234.02	16,896,300
Oct 16, 2019	233.37	235.24	233.20	234.37	233.12	18,475,800
Oct 15, 2019	236.39	237.65	234.88	235.32	234.06	21,840,000
Oct 14, 2019	234.90	238.13	234.67	235.87	234.61	24,106,900
Oct 11, 2019	232.95	237.64	232.31	236.21	234.95	41,698,900
Oct 10, 2019	227.93	230.44	227.30	230.09	228.86	28,253,400
Oct 09, 2019	227.03	227.79	225.64	227.03	225.81	18,692,600
Oct 08, 2019	225.82	228.06	224.33	224.40	223.20	27,955,000
Oct 07, 2019	226.27	229.93	225.84	227.06	225.84	30,576,500
Oct 04, 2019	225.64	227.49	223.89	227.01	225.79	34,619,700
Oct 03, 2019	218.43	220.96	215.13	220.82	219.64	28,606,500
Oct 02, 2019	223.06	223.58	217.93	218.96	217.79	34,612,300
Oct 01, 2019	225.07	228.22	224.20	224.59	223.39	34,805,800
Sep 30, 2019	220.90	224.58	220.79	223.97	222.77	25,977,400
Sep 27, 2019	220.54	220.96	217.28	218.82	217.65	25,352,000
Sep 26, 2019	220.00	220.94	218.83	219.89	218.71	18,833,500
Sep 25, 2019	218.55	221.50	217.14	221.03	219.85	21,903,400
Sep 24, 2019	221.03	222.49	217.19	217.68	216.51	31,190,800
Sep 23, 2019	218.95	219.84	217.65	218.72	217.55	19,165,500
Sep 20, 2019	221.38	222.56	217.47	217.73	216.56	55,413,100
Sep 19, 2019	222.01	223.76	220.37	220.96	219.78	22,060,600
Sep 18, 2019	221.06	222.85	219.44	222.77	221.58	25,340,000
Sep 17, 2019	219.96	220.82	219.12	220.70	219.52	18,318,700
Sep 16, 2019	217.73	220.13	217.56	219.90	218.72	21,158,100
Sep 13, 2019	220.00	220.79	217.02	218.75	217.58	39,763,300
Sep 12, 2019	224.80	226.42	222.86	223.09	221.90	32,226,700
Sep 11, 2019	218.07	223.71	217.73	223.59	222.39	44,289,600
Sep 10, 2019	213.86	216.78	211.71	216.70	215.54	31,777,900
Sep 09, 2019	214.84	216.44	211.07	214.17	213.02	27,309,400
Sep 06, 2019	214.05	214.42	212.51	213.26	212.12	19,362,300
Sep 05, 2019	212.00	213.97	211.51	213.28	212.14	23,913,700
Sep 04, 2019	208.39	209.48	207.32	209.19	208.07	19,188,100
Sep 03, 2019	206.43	206.98	204.22	205.70	204.60	20,023,000
Aug 30, 2019	210.16	210.45	207.20	208.74	207.62	21,143,400
Aug 29, 2019	208.50	209.32	206.66	209.01	207.89	20,990,500
Aug 28, 2019	204.10	205.72	203.32	205.53	204.43	15,938,800
Aug 27, 2019	207.86	208.55	203.53	204.16	203.07	25,873,300
Aug 26, 2019	205.86	207.19	205.06	206.49	205.38	26,043,600
Aug 23, 2019	209.43	212.05	201.00	202.64	201.56	46,818,000
Aug 22, 2019	213.19	214.44	210.75	212.46	211.32	22,253,700
Aug 21, 2019	212.99	213.65	211.60	212.64	211.50	21,535,400
Aug 20, 2019	210.88	213.35	210.32	210.36	209.23	26,884,300
Aug 19, 2019	210.62	212.73	210.03	210.35	209.22	24,413,600
Aug 16, 2019	204.28	207.16	203.84	206.50	205.39	27,620,400
Aug 15, 2019	203.46	205.14	199.67	201.74	200.66	27,227,400
