Date	Open	High	Low	Close	Aclose	Volume
Jun 12, 2019	222.95	223.38	209.00	209.26	209.26	15,186,200
Jun 11, 2019	219.14	220.90	213.50	217.10	217.10	11,653,500
Jun 10, 2019	210.25	216.94	209.01	212.88	212.88	10,585,000
Jun 07, 2019	205.00	210.84	203.50	204.50	204.50	16,003,500
Jun 06, 2019	204.44	211.00	201.80	205.95	205.95	20,242,200
Jun 05, 2019	198.68	201.28	191.85	196.59	196.59	13,510,800
Jun 04, 2019	181.10	193.98	179.61	193.60	193.60	13,807,500
Jun 03, 2019	185.51	186.68	176.99	178.97	178.97	13,064,400
May 31, 2019	185.10	189.92	184.10	185.16	185.16	10,406,700
May 30, 2019	188.75	192.26	187.02	188.22	188.22	7,926,500
May 29, 2019	187.10	192.39	185.04	189.86	189.86	11,968,600
May 28, 2019	191.20	195.00	187.85	188.70	188.70	10,312,900
May 24, 2019	199.83	199.98	188.75	190.63	190.63	14,136,600
May 23, 2019	194.34	199.47	186.22	195.49	195.49	26,547,100
May 22, 2019	199.10	203.94	191.78	192.73	192.73	18,685,200
May 21, 2019	197.76	207.40	196.04	205.08	205.08	18,003,900
May 20, 2019	202.80	206.00	195.25	205.36	205.36	20,526,200
May 17, 2019	221.96	222.24	208.92	211.03	211.03	17,786,700
May 16, 2019	229.49	231.00	226.50	228.33	228.33	7,483,300
May 15, 2019	229.32	232.44	225.25	231.95	231.95	7,296,000
May 14, 2019	229.30	234.50	228.00	232.31	232.31	7,252,400
May 13, 2019	232.01	232.47	224.50	227.01	227.01	10,834,800
May 10, 2019	239.75	241.99	236.02	239.52	239.52	7,008,300
May 09, 2019	242.00	243.68	236.94	241.98	241.98	6,711,400
May 08, 2019	246.94	250.60	244.20	244.84	244.84	6,176,400
May 07, 2019	256.80	257.21	245.10	247.06	247.06	10,131,400
May 06, 2019	250.02	258.35	248.50	255.34	255.34	10,833,900
May 03, 2019	243.86	256.61	243.49	255.03	255.03	23,706,800
May 02, 2019	245.52	247.13	237.72	244.10	244.10	18,159,300
May 01, 2019	238.85	240.00	231.50	234.01	234.01	10,704,400
Apr 30, 2019	242.06	244.21	237.00	238.69	238.69	9,464,600
Apr 29, 2019	235.86	243.98	232.17	241.47	241.47	16,714,500
Apr 26, 2019	246.50	246.68	231.13	235.14	235.14	22,360,700
Apr 25, 2019	255.00	259.00	246.07	247.63	247.63	21,849,400
Apr 24, 2019	263.85	265.32	258.00	258.66	258.66	10,727,500
Apr 23, 2019	260.15	265.60	255.75	263.90	263.90	10,943,900
Apr 22, 2019	269.00	269.68	262.48	262.75	262.75	12,147,100
Apr 18, 2019	271.23	274.84	269.75	273.26	273.26	5,876,300
Apr 17, 2019	274.75	274.79	268.54	271.23	271.23	5,126,500
Apr 16, 2019	265.75	275.00	264.72	273.36	273.36	7,272,900
Apr 15, 2019	268.63	268.88	258.63	266.38	266.38	10,038,600
Apr 12, 2019	270.22	271.95	266.83	267.70	267.70	6,746,000
Apr 11, 2019	268.30	270.50	265.60	268.42	268.42	9,835,900
Apr 10, 2019	276.74	278.38	272.89	276.06	276.06	7,061,300
Apr 09, 2019	271.65	275.00	269.61	272.31	272.31	5,904,000
Apr 08, 2019	277.69	281.16	270.44	273.20	273.20	10,410,400
Apr 05, 2019	269.86	276.10	266.11	274.96	274.96	13,038,300
Apr 04, 2019	261.89	271.20	260.59	267.78	267.78	23,720,700
Apr 03, 2019	287.32	296.17	287.17	291.81	291.81	7,929,900
Apr 02, 2019	288.30	289.44	283.88	285.88	285.88	5,478,900
Apr 01, 2019	282.62	289.20	281.28	289.18	289.18	8,110,400
